datetime,signal_vrp_z,signal_skew_z,signal_concavity_z,composite_score,dte,entry_iv,spx_close,tp_pct,kelly_fraction
2020-10-08,-0.000436,-0.209689,0.838032,49.9553,29,0.2459,3437.0,50,0.015
2020-10-09,-0.060845,-0.200128,0.584956,49.4007,28,0.2278,3460.29,50,0.015
2020-10-12,-0.088226,-0.129788,0.046179,50.2594,25,0.2263,3508.77,50,0.015
2020-10-16,-0.155082,-0.058062,0.465686,49.5862,31,0.2282,3503.21,50,0.015
2020-10-19,0.563005,-0.029976,0.468034,50.8127,28,0.2429,3482.99,50,0.015
2020-10-20,0.720884,-0.099855,0.768358,51.4005,27,0.2545,3457.34,50,0.015
2020-10-21,0.727448,-0.17405,0.869714,50.9931,26,0.2553,3463.67,50,0.015
2020-10-22,0.915119,-0.246627,0.86753,51.1932,25,0.2574,3441.03,50,0.015
2020-10-23,0.771785,-0.052924,0.505666,51.8063,31,0.2445,3458.55,50,0.015
2020-10-26,1.600047,-0.014869,0.398732,52.9559,28,0.263,3434.85,50,0.015
2020-10-27,1.920777,0.141376,0.109963,53.2172,27,0.2923,3403.09,50,0.015
2020-10-28,2.225331,0.389971,-0.039843,56.9314,26,0.3467,3313.94,50,0.015
2020-10-29,2.199355,0.442479,-0.383346,57.1734,25,0.3498,3281.44,50,0.015
2020-10-30,1.848452,0.506129,0.006095,57.0617,42,0.3258,3279.76,50,0.015
2020-11-02,1.631714,0.628743,-0.166136,56.4315,39,0.3157,3320.97,50,0.015
2020-11-03,1.109643,0.629965,-0.097364,54.6621,45,0.2841,3371.14,50,0.015
2020-11-04,0.227191,0.393606,-0.271688,51.5507,44,0.2371,3452.02,50,0.015
2020-11-05,0.055351,0.29716,-0.310318,50.7274,43,0.2305,3517.58,50,0.015
2020-11-06,0.069827,0.258169,-0.431037,50.5975,42,0.2314,3501.11,50,0.015
2020-11-09,-0.662086,-0.088233,-0.474709,47.3365,39,0.2025,3618.6,50,0.015
2020-11-10,-0.709292,0.056705,-0.530539,47.7562,38,0.2119,3544.07,50,0.015
2020-11-11,-0.688979,-0.189851,-0.544569,50.6679,37,0.2138,3562.02,50,0.015
2020-11-12,-0.750205,0.082051,-0.854659,47.7359,36,0.1987,3566.2,50,0.015
2020-11-13,-0.701651,0.103005,-0.45521,48.1733,35,0.198,3561.88,50,0.015
2020-11-16,-0.785225,-0.011543,-0.805278,47.2088,32,0.1944,3610.75,50,0.015
2020-11-17,-0.754109,-0.004255,-0.620157,47.7655,31,0.195,3598.49,50,0.015
2020-11-18,-0.916097,-0.198508,-0.578999,47.5861,30,0.1828,3612.26,50,0.015
2020-11-19,-0.82203,-0.118154,-0.336209,48.0189,29,0.1957,3559.5,50,0.015
2020-11-20,-0.864501,-0.111684,-0.449032,47.7528,28,0.1922,3567.97,50,0.015
2020-11-23,-0.887524,-0.069299,-0.579315,47.7298,25,0.1884,3575.31,50,0.015
2020-11-27,-0.71268,-0.309036,-0.841997,48.1039,31,0.164,3642.05,50,0.015
2020-11-30,-0.576598,-0.386083,-0.397918,47.8913,28,0.1773,3620.83,50,0.015
2020-12-01,-0.702032,-0.635675,-0.199175,47.5468,27,0.1683,3668.4,50,0.015
2020-12-02,-0.671839,-0.519369,-0.415856,48.5138,26,0.1693,3654.04,50,0.015
2020-12-03,-0.590618,-0.557828,-0.522482,49.1473,25,0.1616,3675.78,50,0.015
2020-12-04,-0.225673,-0.25322,-0.438081,47.7046,42,0.1796,3684.14,50,0.015
2020-12-07,-0.131983,-0.274083,-0.273515,47.8695,39,0.1849,3695.43,50,0.015
2020-12-08,0.299775,-0.368561,-0.519305,48.9954,29,0.1756,3688.39,50,0.015
2020-12-09,0.549643,-0.366413,-0.153188,47.3166,28,0.1662,3697.66,50,0.015
2020-12-10,0.701037,-0.304,0.021047,48.2501,27,0.1819,3672.62,50,0.015
2020-12-11,0.741894,-0.190463,-0.076734,48.881,26,0.187,3658.55,50,0.015
2020-12-14,0.64086,-0.204928,-0.013208,49.097,32,0.1834,3694.58,50,0.015
2020-12-15,0.760198,0.013425,-0.396651,49.731,31,0.1874,3669.35,50,0.015
2020-12-16,0.712977,0.074857,-0.367795,49.7485,30,0.1851,3695.37,50,0.015
2020-12-17,0.520569,-0.056453,-0.557799,48.3723,29,0.1714,3714.72,50,0.015
2020-12-18,0.864915,0.066423,-0.704304,49.5949,28,0.1801,3709.0,50,0.015
2020-12-21,1.300749,0.238428,-0.147469,53.2518,25,0.2356,3646.37,50,0.015
2020-12-22,0.693189,0.055567,-0.146242,50.4067,31,0.1957,3687.05,50,0.015
2020-12-23,0.508869,-0.080209,-0.238875,49.1047,30,0.1785,3703.51,50,0.015
2020-12-24,0.431043,-0.087159,-0.465738,48.6547,29,0.1724,3699.1,50,0.015
2020-12-28,0.289066,-0.242301,-0.334048,47.5113,25,0.164,3729.79,50,0.015
2020-12-31,0.612052,-0.227781,-0.140947,48.8157,32,0.1759,3733.57,50,0.015
2021-01-04,0.885403,0.142233,-0.62968,51.4859,25,0.1952,3739.68,50,0.015
2021-01-05,1.010107,0.274617,-0.652151,52.3632,45,0.2075,3717.65,50,0.015
2021-01-06,0.654213,-0.054214,-0.511906,51.5077,44,0.1835,3746.16,50,0.015
2021-01-07,0.471239,-0.178105,-0.391087,50.9123,43,0.1786,3797.89,50,0.015
2021-01-08,0.401713,-0.319551,-0.507753,50.4801,42,0.1743,3819.42,50,0.015
2021-01-11,0.63794,-0.080736,-0.633281,51.1455,39,0.1903,3803.12,50,0.015
2021-01-12,0.650907,-0.15232,-0.175634,51.4001,38,0.1899,3801.71,50,0.015
2021-01-13,0.6229,-0.172053,-0.228987,51.2187,37,0.1843,3799.93,50,0.015
2021-01-14,0.508417,-0.136783,-0.556796,50.843,36,0.1719,3819.62,50,0.015
2021-01-15,0.66264,0.040285,-0.421591,51.4631,35,0.1961,3765.84,50,0.015
2021-01-19,0.502202,-0.021523,-0.232036,51.5451,31,0.1844,3788.05,50,0.015
2021-01-20,0.264666,-0.070855,-0.487826,51.1868,30,0.1728,3836.23,50,0.015
2021-01-21,0.466152,-0.138128,-1.006202,50.9104,29,0.1676,3856.15,50,0.015
2021-01-22,0.540491,-0.179455,-0.634346,51.0815,28,0.1712,3841.37,50,0.015
2021-01-25,0.540257,-0.132409,-0.709201,51.3415,25,0.1711,3853.93,50,0.015
2021-01-26,0.704598,-0.103389,-0.025593,51.6861,29,0.1834,3854.7,50,0.015
2021-01-27,0.881479,0.188583,-0.716169,51.3411,28,0.2117,3795.7,50,0.015
2021-01-28,1.037833,0.498116,-0.352993,52.9697,27,0.2242,3802.67,50,0.015
2021-01-29,1.145647,0.560591,-0.365054,53.8463,26,0.2383,3768.3,50,0.015
2021-02-01,1.327219,1.185018,-1.307813,55.196,32,0.2568,3736.72,50,0.015
2021-02-02,0.48748,0.636457,-0.883383,51.5832,45,0.2185,3826.54,50,0.015
